no,shop,name,rating,date,review_text
56,Konvy,พรพีรยา ส.,5,2023-03-06,คุณภาพดีมาก เนื้อสัมผัสเบาซึมเร็วทาแล้วสบายผิว ประสิทธิภาพกันแดดดีไม่เหนียวเนอะผิวเลยทาซ้ำระหว่างวันได้ ตอนแรกใช้รู้สึกตึง ผิวเพราะผิวค่อนข้างแห้งแต่ทาไปสักพักผิวไม่แห้ง กันแดดดีไม่เหนียวเนอะผิวเลยทาซ้ำระหว่างวันได้ ตอนแรกใช้รู้สึกตึง ผิวเพราะผิวค่อนข้างแห้งแต่ทาไปสักพักผิวไม่แห้ง กันแดดดีไม่เหนียวเนอะผิวเลยทาซ้ำระหว่างวันได้ ตอนแรกใช้รู้สึกตึง ผิวเพราะผิวค่อนข้างแห้งแต่ทาไปสักพักผิวไม่แห้ง กันแดดดีไม่เหนียวเนอะผิวเลยทาซ้ำระหว่างวันได้ ตอนแรกใช้รู้สึกตึง ผิวเพราะผิวค่อนข้างแห้งแต่ทาไปสักพักผิวไม่แห้ง กันแดดดีไม่เหนียวเนอะผิวเลยทาซ้ำระหว่างวันได้ ตอนแรกใช้รู้สึกตึง ผิวเพราะผิวค่อนข้างแห้งแต่ทาไปสักพักผิวไม่แห้ง กันแดดดีไม่เหนียวเนอะผิวเลยทาซ้ำระหว่างวันได้ ตอนแรกใช้รู้สึกตึง ผิวเพราะผิวค่อนข้างแห้งแต่ทาไปสักพักผิวไม่แห้ง กันแดดดีไม่เหนียวเนอะผิวเลยทาซ้ำระหว่างวันได้ ตอนแรกใช้รู้สึกตึง ผิวเพราะผิวค่อนข้างแห้งแต่ทาไปสักพักผิวไม่แห้ง กันแดดดีไม่เหนียวเนอะผิวเลยทาซ้ำระหว่างวันได้ ตอนแรกใช้รู้สึกตึง ผิวเพราะผิวค่อนข้างแห้งแต่ทาไปสักพักผิวไม่แห้ง สบายผิวมาก ถ้าหมดแล้วจะกลับมาซื้อซ้ำแน่นอน อ่อช่วยเรื่องผิวขาวด้วยทาแล้วผิวขาวขึ้นมาอีกหนึ่ง ร
57,Konvy,n***.,5,2023-02-24,สั่ง182 ได้ของ 232 ต้องตามกับทางร้านดีนะยังตอบแชท แพ็คของมาดีมาก
58,Konvy,woraphon T.,5,2023-02-24,ใช้ดี ทาง่าย แห้งเร็ว เนื้อ ใช้ดี ทาง่าย แห้งเร็ว เนื้อ ใช้ดี ทาง่าย แห้งเร็ว เนื้อ
59,Konvy,A***.,5,2022-11-18,สั่งช่วงโปร1111 จัดส่งช้าแต่ชัวร์ ของพึ่งมาวันนี้ 1811 ยังไม่เคยใช้ตัวนี้ ของลองก่อนค่ะ
60,Konvy,K***.,5,2022-10-01,กันแดดสีดี หน้าดูสว่าง ใช้แล้วหน้าไม่แห้งไม่แพ้ ดีมากค่ะ
61,Konvy,Jey🖤,2,2024-01-29,ได้รับของมาแล้วค่ะ มาอย่างดี แต่แอบได้ของเก่า ตั้งแต่ปี 2022 มาอันนึง
62,Konvy,Lek A.,4,2024-06-29,ป้องกันแดดที่อยู่ได้นาน ไม่ทำให้รูขุมขนอุดตัน ช่วยปรับสีผิวให้เรียบเนียน เหมาะสำหรับเมคอัพเบส
63,Konvy,G***r,4,2023-02-15,ส่งของให้ช้า
64,Konvy,m***.,5,2023-01-22,ทางร้านจัดส่งสินค้าให้รวดเร็วสินค้ามีคุณภาพดี ราคาถูก โปรโมชั่นดีกว่าร้านอื่นๆ การจัดส่งของพนักงานขนส่งรวดเร็วและสุภาพมากค่ะมีการโทรเข้ามาแจ้งรายละเอียดก่อนเข้ามาส่งสินค้า
65,Konvy,ภริตา ต.,5,2023-10-04,ได้รับของแล้วค่ะ
